Date,Open,High,Low,Close,Volume
2024-01-02,107.38,107.44,106.8,107.04,202047
2024-01-03,106.98,107.08,106.44,106.62,72707
2024-01-04,106.68,106.68,106.16,106.6,86969
2024-01-05,106.2,106.56,105.92,106.42,97346
2024-01-08,106.22,106.58,105.88,106.56,70383
2024-01-09,107.06,107.18,106.6,107.14,52532
2024-01-10,107.22,107.4,107.02,107.08,61524
2024-01-11,107.74,107.9,106.7,106.74,49649
2024-01-12,107.28,107.9,107.16,107.54,50313
2024-01-15,107.7,107.76,107.42,107.58,98261
2024-01-16,107.1,107.82,107.06,107.72,51320
2024-01-17,106.7,106.92,106.42,106.76,74561
2024-01-18,106.66,107.34,106.6,107.3,55283
2024-01-19,107.66,107.94,107.44,107.64,60619
2024-01-22,108.5,108.9,108.42,108.64,55353
2024-01-23,108.58,109.14,108.34,108.9,63126
2024-01-24,109.46,109.68,109.28,109.54,56661
2024-01-25,109.26,110.06,109.12,110.04,59554
2024-01-26,109.86,110.24,109.64,110.12,54574
2024-01-29,110.34,110.68,110.24,110.6,71333
2024-01-30,110.84,111.0,110.48,110.68,62385
2024-01-31,110.76,110.8,109.98,110.14,78285
2024-02-01,110.14,110.4,109.56,109.76,148135
2024-02-02,110.7,111.34,110.52,111.34,40765
2024-02-05,111.52,111.88,111.32,111.56,67769
2024-02-06,112.0,112.22,111.68,112.08,81738
2024-02-07,112.04,112.68,111.94,112.48,52190
2024-02-08,112.56,112.74,112.4,112.46,45055
2024-02-09,112.56,112.92,112.46,112.58,75826
2024-02-12,112.9,113.62,112.84,113.62,75038
2024-02-13,113.28,113.3,112.1,112.44,103831
2024-02-14,112.58,113.04,112.52,112.72,77647
2024-02-15,113.4,113.5,112.9,113.16,78595
2024-02-16,113.82,114.0,113.32,113.7,49416
2024-02-19,113.3,113.64,113.18,113.52,54796
2024-02-20,113.28,113.3,112.38,112.48,90186
2024-02-21,112.58,112.62,112.28,112.42,58763
2024-02-22,113.44,114.24,113.24,114.22,42779
2024-02-23,114.44,114.84,114.26,114.54,50731
2024-02-26,114.3,114.4,114.06,114.14,49377
2024-02-27,114.0,114.2,113.78,114.0,40090
2024-02-28,114.14,114.2,113.72,113.92,49496
2024-02-29,113.94,114.38,113.56,114.22,61062
2024-03-01,114.92,115.16,114.54,115.04,145433
2024-03-04,115.1,115.26,114.82,114.94,79895
2024-03-05,114.8,114.8,113.96,114.14,97550
2024-03-06,114.3,114.78,114.26,114.64,49795
2024-03-07,114.26,115.3,114.1,115.1,60536
2024-03-08,115.3,115.66,115.08,115.12,66012
2024-03-11,114.4,114.52,114.04,114.5,131547
2024-03-12,115.04,115.72,114.66,115.44,86119
2024-03-13,115.6,115.62,115.32,115.4,56678
2024-03-14,115.68,115.88,115.1,115.46,62526
2024-03-15,115.52,115.78,114.78,114.8,88517
2024-03-18,115.26,115.76,115.06,115.68,66340
2024-03-19,115.58,115.84,115.2,115.84,63751
2024-03-20,115.96,116.34,115.92,116.12,41736
2024-03-21,117.2,117.8,116.9,117.74,62654
2024-03-22,117.7,117.98,117.52,117.62,75486
2024-03-25,117.54,117.64,117.08,117.32,73368
2024-03-26,117.4,117.62,117.24,117.56,50140
2024-03-27,117.48,117.84,117.32,117.48,78343
2024-03-28,118.14,118.44,118.06,118.28,61795
2024-04-02,118.86,118.94,117.28,117.46,207263
2024-04-03,117.5,117.6,117.18,117.54,95816
2024-04-04,117.48,117.86,117.38,117.7,107931
2024-04-05,116.22,117.06,116.12,116.88,109096
2024-04-08,116.92,117.38,116.8,117.08,57936
2024-04-09,117.14,117.28,116.28,116.6,114582
2024-04-10,117.38,117.6,116.32,117.04,83446
2024-04-11,117.38,117.54,116.76,117.32,51352
2024-04-12,118.42,118.5,117.5,117.72,58713
2024-04-15,117.7,118.18,117.24,117.42,100788
2024-04-16,115.76,115.94,115.2,115.6,98090
2024-04-17,115.42,115.92,114.92,114.92,84503
2024-04-18,115.12,115.42,114.54,115.26,55779
2024-04-19,114.08,114.66,113.92,114.28,64451
2024-04-22,114.56,114.9,114.26,114.54,82355
2024-04-23,115.3,115.82,114.84,115.74,71742
2024-04-24,116.34,116.44,115.6,115.78,43891
2024-04-25,115.22,115.38,114.1,114.48,62550
2024-04-26,115.9,116.7,115.6,116.44,54865
2024-04-29,116.78,117.02,116.58,116.58,94125
2024-04-30,116.88,116.88,116.16,116.24,101066
2024-05-02,115.7,116.1,115.42,115.68,148273
2024-05-03,116.32,117.0,116.12,116.62,82161
2024-05-06,117.14,117.5,116.98,117.42,83877
2024-05-07,117.94,118.12,117.76,118.08,66734
2024-05-08,118.14,118.26,117.6,118.08,54487
2024-05-09,118.04,118.3,117.9,118.26,31657
2024-05-10,118.7,119.0,118.6,118.64,47518
2024-05-13,118.92,118.92,118.54,118.6,60043
2024-05-14,118.62,118.78,118.22,118.52,69377
2024-05-15,118.9,119.38,118.66,119.38,86081
2024-05-16,119.72,119.92,119.62,119.8,43609
2024-05-17,119.56,119.8,119.46,119.56,39060
2024-05-20,119.76,120.18,119.68,120.18,36453
2024-05-21,119.72,119.88,119.5,119.82,62340
2024-05-22,119.8,120.0,119.74,119.88,46081
2024-05-23,120.32,120.74,119.54,119.9,41197
2024-05-24,119.1,119.58,118.98,119.4,60683
2024-05-27,119.54,119.7,119.38,119.7,48233
2024-05-28,119.6,119.72,119.16,119.22,66146
2024-05-29,118.88,118.96,118.32,118.68,60119
2024-05-30,118.22,118.5,118.08,118.26,58982
2024-05-31,118.08,118.3,117.4,117.52,93032
2024-06-03,119.3,119.34,118.36,118.42,181358
2024-06-04,118.18,118.56,117.78,117.96,89771
2024-06-05,118.76,119.48,118.66,119.48,56587
2024-06-06,119.88,120.14,119.66,119.92,49001
2024-06-07,119.98,120.68,119.54,120.46,70813
2024-06-10,120.54,120.98,120.3,120.98,52417
2024-06-11,120.86,120.88,120.32,120.74,45970
2024-06-12,121.18,121.66,120.98,121.38,53683
2024-06-13,121.46,121.58,121.04,121.32,63361
2024-06-14,121.92,122.06,121.24,121.68,68325
2024-06-17,121.98,122.08,121.48,121.74,86173
2024-06-18,122.4,122.58,122.24,122.42,65172
2024-06-19,122.82,122.9,122.54,122.62,85207
2024-06-20,123.04,124.0,122.82,123.06,71103
2024-06-21,122.82,123.06,122.46,122.7,67245
2024-06-24,122.6,122.94,122.3,122.88,93065
2024-06-25,122.46,122.86,122.32,122.72,78297
2024-06-26,123.22,123.46,122.62,122.76,76608
2024-06-27,122.9,123.02,122.66,122.68,66172
2024-06-28,123.3,123.72,123.04,123.18,66047
2024-07-01,122.6,122.8,122.12,122.52,202510
2024-07-02,122.38,122.72,122.06,122.72,85096
2024-07-03,123.12,123.34,122.9,123.12,66366
2024-07-04,123.56,123.76,123.36,123.46,71459
2024-07-05,123.56,123.64,123.14,123.42,59519
2024-07-08,123.56,123.9,123.5,123.68,82477
2024-07-09,123.88,124.14,123.78,123.86,73615
2024-07-10,123.88,124.42,123.86,124.42,63556
2024-07-11,124.96,125.0,124.22,124.24,90735
2024-07-12,124.34,124.88,124.0,124.84,65048
2024-07-15,124.76,124.94,124.42,124.76,128454
2024-07-16,124.5,125.14,124.2,124.88,90403
2024-07-17,124.56,124.62,123.46,123.58,135084
2024-07-18,123.88,124.08,122.94,122.96,103178
2024-07-19,122.72,122.86,122.08,122.1,101092
2024-07-22,122.38,123.18,122.28,122.62,91241
2024-07-23,122.9,123.74,122.78,123.72,74233
2024-07-24,122.52,122.84,121.54,121.7,116163
2024-07-25,121.06,121.24,120.1,121.08,150354
2024-07-26,120.86,121.54,120.74,121.34,98247
2024-07-29,122.1,122.62,121.54,121.54,92201
2024-07-30,121.98,122.5,121.5,121.6,62731
2024-07-31,122.82,123.56,122.7,123.5,71655
2024-08-01,123.64,124.0,122.24,122.24,190012
2024-08-02,120.44,120.52,117.08,117.52,187366
2024-08-05,114.16,114.98,111.8,114.8,339465
2024-08-06,115.62,116.22,114.58,115.66,259387
2024-08-07,116.5,117.9,116.28,117.5,238584
2024-08-08,115.72,117.72,115.08,117.66,105951
2024-08-09,117.82,118.62,117.46,118.04,135922
2024-08-12,118.5,118.84,118.0,118.3,70019
2024-08-13,118.86,119.38,118.38,119.32,73667
2024-08-14,119.54,119.58,118.68,119.54,106641
2024-08-15,119.98,121.68,119.8,121.62,107604
2024-08-16,122.08,122.16,121.28,121.74,69207
2024-08-19,121.62,122.16,121.52,122.1,66471
2024-08-20,122.42,122.6,121.62,121.7,89959
2024-08-21,121.82,122.38,121.7,121.92,37929
2024-08-22,122.0,122.62,121.96,122.0,69030
2024-08-23,121.86,122.56,121.58,122.1,44259
2024-08-26,122.14,122.66,121.84,121.92,59928
2024-08-27,122.1,122.32,121.7,122.0,56535
2024-08-28,122.46,122.8,121.96,122.04,46228
2024-08-29,122.18,123.56,122.12,123.42,96601
2024-08-30,123.12,123.5,122.96,123.02,45512
2024-09-02,123.48,123.74,123.2,123.66,150888
2024-09-03,123.78,123.82,122.02,122.48,97165
2024-09-04,120.78,121.54,120.7,121.16,102175
2024-09-05,120.82,121.38,120.12,120.42,77847
2024-09-06,119.96,120.92,118.6,118.84,74302
2024-09-09,119.58,120.46,119.54,120.18,115632
2024-09-10,120.04,120.68,119.94,120.3,87946
2024-09-11,120.28,120.86,119.2,119.8,55798
2024-09-12,122.12,122.4,121.28,121.86,43925
2024-09-13,122.26,122.74,122.0,122.7,39989
2024-09-16,122.3,122.54,121.84,122.14,104541
2024-09-17,122.62,123.12,122.56,122.92,63498
2024-09-18,122.66,122.7,122.18,122.32,48506
2024-09-19,123.42,124.26,123.22,124.06,86152
2024-09-20,123.64,123.86,123.1,123.28,61744
2024-09-23,123.6,124.3,123.56,124.18,77237
2024-09-24,124.72,124.76,123.98,124.46,52645
2024-09-25,123.84,124.56,123.8,124.48,47647
2024-09-26,125.5,126.18,125.1,125.2,79201
2024-09-27,125.66,125.82,125.32,125.56,82424
2024-09-30,125.34,125.58,124.58,125.2,97501
2024-10-01,125.82,126.4,124.92,125.48,230541
2024-10-02,125.82,126.22,125.26,126.2,105028
2024-10-03,125.94,126.0,125.3,125.84,71726
2024-10-04,125.84,127.36,125.72,126.6,103698
2024-10-07,127.26,127.3,126.7,127.04,136577
2024-10-08,125.72,126.8,125.6,126.74,89186
2024-10-09,126.54,127.52,126.38,127.52,66355
2024-10-10,127.78,127.8,127.1,127.74,97817
2024-10-11,127.46,128.34,127.18,128.2,66725
2024-10-14,128.42,129.34,128.3,129.08,102174
2024-10-15,129.38,129.44,128.42,128.62,123581
2024-10-16,128.48,128.82,128.24,128.72,47047
2024-10-17,129.28,130.26,129.14,129.74,59057
2024-10-18,129.62,129.94,129.4,129.66,86557
2024-10-21,129.64,129.74,129.0,129.08,83088
2024-10-22,129.3,129.4,128.68,129.24,81806
2024-10-23,129.6,129.8,128.78,128.86,71533
2024-10-24,129.0,129.34,128.56,128.58,60404
2024-10-25,128.56,129.26,128.4,129.02,66627
2024-10-28,129.16,129.24,128.62,128.98,60493
2024-10-29,129.12,129.32,128.84,129.06,65856
2024-10-30,128.94,128.98,128.04,128.26,97546
2024-10-31,127.1,127.22,125.92,126.22,112233
2024-11-01,126.22,127.42,126.2,127.24,227269
2024-11-04,126.5,126.66,126.0,126.3,96574
2024-11-05,126.5,127.08,126.22,126.98,82497
2024-11-06,130.52,131.56,129.96,130.42,129187
2024-11-07,131.08,131.5,130.96,131.38,105189
2024-11-08,131.78,131.98,130.94,131.98,102063
2024-11-11,132.88,133.56,132.8,133.26,125247
2024-11-12,132.88,133.12,132.5,132.64,99463
2024-11-13,132.34,133.04,131.9,133.04,86622
2024-11-14,133.0,133.78,132.66,132.94,95152
2024-11-15,131.96,132.14,131.36,131.36,158037
2024-11-18,131.5,131.86,131.02,131.86,96627
2024-11-19,131.92,131.98,130.28,131.76,86712
2024-11-20,132.26,132.5,131.46,131.8,67127
2024-11-21,132.16,133.42,131.8,133.28,85578
2024-11-22,133.6,135.18,133.56,134.82,91429
2024-11-25,135.02,135.06,134.24,134.46,119424
2024-11-26,134.14,134.68,133.74,134.56,100141
2024-11-27,134.52,134.56,133.32,133.48,125124
2024-11-28,134.08,134.2,133.8,134.02,59317
2024-11-29,133.8,134.6,133.74,134.56,79021
2024-12-02,135.02,135.88,134.88,135.76,179780
2024-12-03,135.9,135.94,135.36,135.64,109115
2024-12-04,135.98,136.78,135.8,136.06,97961
2024-12-05,136.14,136.4,135.72,135.96,113325
2024-12-06,135.62,136.38,135.4,136.04,80160
2024-12-09,136.46,136.52,135.6,135.94,142807
2024-12-10,135.64,136.2,135.58,136.0,108216
2024-12-11,135.78,136.76,135.66,136.7,80971
2024-12-12,136.54,136.76,136.1,136.42,116057
2024-12-13,136.48,136.62,135.46,135.78,89903
2024-12-16,135.64,136.24,135.48,135.96,125576
2024-12-17,135.52,135.84,135.08,135.5,127278
2024-12-18,135.68,136.04,135.36,135.78,84664
2024-12-19,133.4,134.16,133.2,133.84,160128
2024-12-20,132.66,134.06,131.26,134.06,189822
2024-12-23,134.06,134.2,133.36,133.76,191269
2024-12-27,135.1,135.3,133.86,134.36,144258
2024-12-30,134.04,134.32,133.1,133.22,93464
2025-01-02,134.28,135.48,133.98,135.48,437836
2025-01-03,134.78,135.24,134.4,135.24,157593
2025-01-06,135.32,136.04,135.0,135.88,216484
2025-01-07,134.9,135.7,134.68,134.92,177334
2025-01-08,134.96,135.44,134.42,135.0,102919
2025-01-09,134.66,135.08,134.6,135.06,53803
2025-01-10,134.74,135.02,133.42,133.72,116613
2025-01-13,133.48,133.9,132.82,133.54,181311
2025-01-14,134.28,134.5,133.1,133.32,117833
2025-01-15,133.44,135.56,133.36,135.38,114581
2025-01-16,136.28,136.32,135.6,135.8,76808
2025-01-17,136.06,137.2,135.96,137.02,82797
2025-01-20,136.9,137.0,136.14,136.42,120646
2025-01-21,136.36,137.04,136.22,136.48,94523
2025-01-22,137.02,137.48,136.82,137.48,82908
2025-01-23,137.36,137.78,137.08,137.62,85399
2025-01-24,137.52,137.6,136.86,137.14,123444
2025-01-27,135.46,135.52,133.5,134.88,238848
2025-01-28,136.22,136.96,135.84,136.5,119717
2025-01-29,137.62,137.86,137.02,137.14,117084
2025-01-30,137.56,138.02,137.16,137.64,87950
2025-01-31,138.6,139.2,138.58,138.86,125932
2025-02-03,137.16,137.86,136.7,137.78,294822
2025-02-04,137.5,137.92,136.84,137.84,112856
2025-02-05,137.02,137.4,136.68,137.38,116945
2025-02-06,138.48,139.04,138.46,138.86,87075
2025-02-07,138.84,139.44,138.4,138.66,125886
2025-02-10,139.08,139.72,138.96,139.56,90452
2025-02-11,139.2,139.36,138.86,139.16,125477
2025-02-12,138.94,139.48,137.98,138.3,134347
2025-02-13,138.34,139.04,138.04,138.92,109798
2025-02-14,139.18,139.24,138.54,138.7,83281
2025-02-17,139.18,139.52,139.14,139.44,129539
2025-02-18,139.78,140.14,139.42,139.58,108200
2025-02-19,140.0,140.18,139.36,140.0,85941
2025-02-20,139.7,139.96,138.64,138.72,119656
2025-02-21,139.04,139.6,138.74,138.98,79259
2025-02-24,137.76,138.2,136.62,137.38,179554
2025-02-25,136.88,137.1,135.22,135.42,197367
2025-02-26,136.84,137.5,136.58,137.22,124327
2025-02-27,137.04,137.68,136.34,137.4,90165
2025-02-28,135.44,136.1,134.82,135.82,174276
2025-03-03,137.24,137.34,135.86,136.1,243932
2025-03-04,134.44,134.5,131.54,131.9,226375
2025-03-05,132.2,132.44,130.24,130.3,178456
2025-03-06,131.32,131.44,129.7,130.52,142177
2025-03-07,129.72,130.0,128.3,128.4,186920
2025-03-10,129.38,129.4,127.04,127.38,183002
2025-03-11,126.6,126.84,124.64,125.06,239769
2025-03-12,125.7,127.2,124.94,126.4,276495
2025-03-13,125.88,126.68,125.4,125.6,173686
2025-03-14,126.04,127.38,125.78,127.08,137367
2025-03-17,127.02,128.14,126.82,127.7,273213
2025-03-18,127.82,128.28,126.78,127.2,177815
2025-03-19,127.36,128.66,127.34,128.46,96727
2025-03-20,129.06,129.62,127.96,128.74,137356
2025-03-21,128.52,128.66,127.54,128.38,93174
2025-03-24,129.6,130.62,129.4,130.46,180448
2025-03-25,130.46,130.86,130.28,130.6,158692
2025-03-26,130.98,131.08,129.9,130.02,114340
2025-03-27,129.78,130.06,128.88,129.64,102621
2025-03-28,128.76,129.34,126.78,126.9,107926
2025-03-31,125.58,126.08,124.76,126.08,142441
2025-04-01,127.14,127.72,126.06,127.52,209556
2025-04-02,127.42,127.5,126.1,127.3,59331
2025-04-03,123.06,123.66,120.32,121.3,285923
2025-04-04,119.94,120.22,114.64,115.8,459008
2025-04-07,108.6,120.08,107.9,112.52,758826
2025-04-08,114.3,117.7,114.24,115.94,367926
2025-04-09,114.3,114.3,108.56,110.5,332917
2025-04-10,120.26,120.48,114.78,114.78,397189
2025-04-11,115.2,115.3,112.3,113.92,254886
2025-04-14,116.48,118.26,116.38,117.1,203766
2025-04-15,117.62,118.78,117.1,118.3,199093
2025-04-16,116.06,117.44,115.52,116.9,100792
2025-04-17,116.3,116.74,115.24,115.82,186357
2025-04-22,113.96,115.26,113.6,115.08,227819
2025-04-23,117.78,119.88,117.66,118.42,184017
2025-04-24,117.82,119.6,117.12,119.42,116227
2025-04-25,120.6,120.66,119.42,119.8,126639
2025-04-28,120.76,121.2,120.02,120.14,118915
2025-04-29,120.76,121.16,120.1,120.7,120464
2025-04-30,121.34,121.64,119.34,121.14,144034
2025-05-02,123.46,124.4,123.06,124.14,270118
2025-05-05,124.0,124.56,123.62,124.44,149352
2025-05-06,123.94,123.98,122.84,123.78,106705
2025-05-07,123.4,123.66,122.8,123.14,153445
2025-05-08,124.74,125.18,123.88,125.0,95623
2025-05-09,125.14,125.62,124.42,124.94,138128
2025-05-12,128.66,129.96,128.42,129.04,293767
2025-05-13,129.04,130.04,128.92,129.72,111093
2025-05-14,129.56,129.78,128.7,129.46,117850
2025-05-15,128.92,129.92,128.7,129.92,148123
2025-05-16,129.92,130.7,129.86,130.7,86687
2025-05-19,129.48,130.12,128.52,130.08,120179
2025-05-20,130.02,130.66,129.8,130.24,140397
2025-05-21,129.16,129.46,128.36,129.32,96325
2025-05-22,128.42,128.52,127.42,128.42,143015
2025-05-23,128.22,128.36,126.0,127.14,220057
2025-05-26,127.94,128.4,127.84,128.18,80725
2025-05-27,128.32,129.1,128.04,129.08,73640
2025-05-28,129.38,129.72,128.86,129.18,61711
2025-05-29,130.7,131.1,128.48,128.6,99409
2025-05-30,128.78,129.18,128.1,128.48,87108
2025-06-02,127.84,128.28,127.1,127.96,213244
2025-06-03,128.36,129.44,127.9,129.44,100299
2025-06-04,129.72,130.0,129.2,129.58,68112
2025-06-05,129.62,130.16,128.58,129.68,128843
2025-06-06,129.42,130.66,129.3,130.18,74096
2025-06-09,130.18,130.58,130.02,130.28,142533
2025-06-10,130.46,130.62,130.12,130.3,79171
2025-06-11,130.74,131.0,130.28,130.36,102698
2025-06-12,129.46,129.52,128.0,129.18,100241
2025-06-13,128.02,129.1,127.86,128.58,102505
